file,change,topic,official_sources
articles/كيفية-تجديد-وثيقة-العمل-الحر-وتعديل-بياناتها.html,"added authorship, review date, official references, and HTML cleanup",المتطلبات النظامية,1
articles/كيفية-تصميم-متجر-إلكتروني-احترافي-على-منصة-سلة-وزد.html,"added authorship, review date, official references, and HTML cleanup",المنصة وتجربة المتجر,1
articles/كيفية-ربط-بوابة-الدفع-إمكان-imkan-بمتجرك-على-سلة-أو-زد.html,"added authorship, review date, official references, and HTML cleanup",الدفع والفوترة,1
articles/ما-هي-وثيقة-العمل-الحر-وأهميتها-لأصحاب-المتاجر-الإلكترونية.html,"added authorship, review date, official references, and HTML cleanup",المتطلبات النظامية,1
articles/متطلبات-التوثيق-للمتاجر-التي-تعمل-على-منصات-سلة-وزد.html,"added authorship, review date, official references, and HTML cleanup",المتطلبات النظامية,1
articles/مقارنة-بين-إجراءات-فتح-حساب-بنكي-تجاري-في-الراجحي-والإنماء.html,"added authorship, review date, official references, and HTML cleanup",المتطلبات النظامية,1
articles/مقارنة-بين-بوابات-الدفع-الإلكتروني-ميس-مدفوع-وإمكان.html,"added authorship, review date, official references, and HTML cleanup",الدفع والفوترة,1
articles/مقارنة-بين-منصات-الإعلان-الرئيسية-جوجل-فيسبوك-سناب-شات.html,"added authorship, review date, official references, and HTML cleanup",القياس والظهور,1
articles/مقارنة-شاملة-بين-باقات-تصميم-متجر-سلة-بيسك-بلس-برو-ذهبية.html,"added authorship, review date, official references, and HTML cleanup",المنصة وتجربة المتجر,1
articles/نصائح-لتسريع-عملية-الموافقة-على-فتح-حساب-بنكي-للأعمال.html,"added authorship, review date, official references, and HTML cleanup",المتطلبات النظامية,1
articles/وثيقة-العمل-الحر-دليل-لتحديد-النشاط-المناسب-لمتجرك.html,"added authorship, review date, official references, and HTML cleanup",المتطلبات النظامية,1
articles/وثيقة-العمل-الحر-والالتزامات-الضريبية-ما-يجب-أن-تعرفه.html,"added authorship, review date, official references, and HTML cleanup",المتطلبات النظامية,1
articles.html,added visible editorial methodology and official source policy,editorial trust,1
