status,path,category,production_artifact
M,articles/الخطوات-التفصيلية-لتوثيق-المتجر-في-منصة-سلة-بنجاح.html,site/deployment artifact,yes
M,articles/الخطوات-التفصيلية-لربط-خدمة-تمارا-بمتجرك-الإلكتروني-على-سلة-أو-زد.html,site/deployment artifact,yes
M,articles/الدليل-الشامل-لإعداد-وربط-البكسلات-التحويلية-فيسبوك-سناب-شات-تيك-توك.html,site/deployment artifact,yes
M,articles/الرسوم-والعمولات-مقارنة-تكاليف-استخدام-ميس-مدفوع-وإمكان.html,site/deployment artifact,yes
M,articles/الشروط-والمتطلبات-الأساسية-لاستخراج-وثيقة-العمل-الحر.html,site/deployment artifact,yes
M,articles/الشروط-والمتطلبات-الأساسية-لتفعيل-تابي-للأعمال.html,site/deployment artifact,yes
M,articles/الشروط-والمتطلبات-الفنية-لتفعيل-بوابات-الدفع-الإلكتروني.html,site/deployment artifact,yes
M,articles/العلاقة-بين-توثيق-منصة-الأعمال-وتفعيل-بوابات-الدفع-الإلكتروني.html,site/deployment artifact,yes
M,articles/العلاقة-بين-وثيقة-العمل-الحر-وتوثيق-المتجر-في-سلة.html,site/deployment artifact,yes
M,articles/الفرق-بين-الحساب-البنكي-الشخصي-والحساب-البنكي-التجاري-للمتجر.html,site/deployment artifact,yes
M,articles/الفرق-بين-وثيقة-العمل-الحر-والسجل-التجاري-للمتجر-الإلكتروني.html,site/deployment artifact,yes
M,articles/الفوائد-الأمنية-لتوثيق-متجرك-عبر-منصة-الأعمال.html,site/deployment artifact,yes
M,articles/الفوائد-القانونية-والتجارية-لتوثيق-متجرك-الإلكتروني.html,site/deployment artifact,yes
M,articles/المدة-الزمنية-المتوقعة-لإنهاء-إجراءات-توثيق-متجر-سلة.html,site/deployment artifact,yes
M,articles/المزايا-والحوافز-التي-تقدمها-وثيقة-العمل-الحر-لحامليها.html,site/deployment artifact,yes
M,articles/الوثائق-المطلوبة-لتوثيق-متجر-إلكتروني-في-منصة-الأعمال.html,site/deployment artifact,yes
M,articles/الوثائق-المطلوبة-لفتح-حساب-بنكي-للأعمال-في-المملكة-العربية-السعودية.html,site/deployment artifact,yes
M,articles/الوثائق-والمتطلبات-الأساسية-لعملية-توثيق-متجر-سلة.html,site/deployment artifact,yes
M,articles/بناء-مجتمع-حول-متجرك-الإلكتروني-عبر-استراتيجيات-التواصل-الاجتماعي.html,site/deployment artifact,yes
M,articles/بوابات-الدفع-وتأثيرها-على-تجربة-المستخدم-ومعدل-التحويل.html,site/deployment artifact,yes
M,articles/تابي-وتمارا-مقارنة-بين-المزايا-والرسوم-لأصحاب-المتاجر.html,site/deployment artifact,yes
M,articles/تجربة-العميل-مع-الدفع-الآجل-نصائح-لتحسينها.html,site/deployment artifact,yes
M,articles/تحسين-seo-للمتاجر-الإلكترونية-على-سلة-دليل-شامل-للبداية.html,site/deployment artifact,yes
M,articles/تحسين-إعلاناتك-باستخدام-بيانات-البكسلات-دليل-متقدم.html,site/deployment artifact,yes
M,articles/تحليل-أداء-المتجر-وحسابات-التواصل-الاجتماعي-مؤشرات-الأداء-الرئيسية-kpis.html,site/deployment artifact,yes
M,articles/تدريب-سلة-كيف-تتقن-إدارة-متجرك-وتحقق-أقصى-استفادة-من-المنصة.html,site/deployment artifact,yes
M,articles/تصميم-تجربة-المستخدم-ux-في-متجرك-الإلكتروني-خطوات-التنفيذ.html,site/deployment artifact,yes
M,articles/تصميم-متجر-إلكتروني-متوافق-مع-الجوال-mobile-first-design-على-زد.html,site/deployment artifact,yes
M,articles/تصميم-متجر-احترافي-استراتيجيات-لتمييز-متجرك-عن-المنافسين.html,site/deployment artifact,yes
M,articles/تفعيل-بكسلات-التحويل-فيسبوك-سناب-شات-لتحسين-الحملات-الإعلانية.html,site/deployment artifact,yes
M,articles/تفعيل-تابي-وتمارا-دليل-للامتثال-لشروط-الخدمة.html,site/deployment artifact,yes
M,articles/توثيق-المتجر-الاحترافي-متطلبات-إضافية-لزيادة-الموثوقية.html,site/deployment artifact,yes
M,articles/توثيق-المتجر-في-سلة-دليل-لتجنب-الأخطاء-الشائعة.html,site/deployment artifact,yes
M,articles/توثيق-منصة-الأعمال-دليل-لتجنب-الرفض-وتسريع-الإجراءات.html,site/deployment artifact,yes
M,articles/توثيق-منصة-الأعمال-ضمان-حقوق-التاجر-والمستهلك.html,site/deployment artifact,yes
M,articles/حلول-الدفع-الآمنة-كيف-تحمي-متجرك-وعملائك.html,site/deployment artifact,yes
M,articles/خدمات-الإدارة-الاحترافية-للحملات-الإعلانية-تحقيق-أفضل-النتائج.html,site/deployment artifact,yes
M,articles/خدمات-الإدارة-المتكاملة-للمتجر-والتسويق-الرقمي-ما-الذي-تقدمه.html,site/deployment artifact,yes
M,articles/خدمات-الدعم-الفني-لتوثيق-متجرك-في-منصة-الأعمال.html,site/deployment artifact,yes
M,articles/خدمات-المساعدة-في-استخراج-وثيقة-العمل-الحر-توفير-الوقت-والجهد.html,site/deployment artifact,yes
M,articles/خدمات-المساعدة-في-تفعيل-بوابات-الدفع-ضمان-التكامل-السريع.html,site/deployment artifact,yes
M,articles/خدمات-المساعدة-في-تفعيل-تابي-وتمارا-ضمان-القبول-السريع.html,site/deployment artifact,yes
M,articles/خدمات-المساعدة-في-توثيق-متجرك-على-سلة-ضمان-القبول-السريع.html,site/deployment artifact,yes
M,articles/خطوات-التسجيل-وتفعيل-بوابة-الدفع-ميس-mees-على-متجرك.html,site/deployment artifact,yes
M,articles/خطوات-فتح-حساب-بنكي-إلكتروني-للأفراد-والمؤسسات.html,site/deployment artifact,yes
M,articles/دليل-تفعيل-بوابة-الدفع-مدفوع-madfou-للمتاجر-الناشئة.html,site/deployment artifact,yes
M,articles/دليل-تفعيل-تابي-وتمارا-للمتاجر-التي-تعمل-بدون-سجل-تجاري.html,site/deployment artifact,yes
M,articles/دور-الهوية-البصرية-في-نجاح-متجرك-الإلكتروني-الاحترافي.html,site/deployment artifact,yes
M,articles/دور-تحسين-seo-في-دعم-أداء-حملاتك-الإعلانية.html,site/deployment artifact,yes
M,articles/دور-تخصيص-css-في-تصميم-متجر-سلة-احترافي-ومميز.html,site/deployment artifact,yes
M,articles/ربط-متجرك-بـ-google-merchant-center-خطوات-لزيادة-الظهور.html,site/deployment artifact,yes
M,articles/عناصر-التصميم-التي-تزيد-من-معدل-التحويل-في-المتاجر-الإلكترونية.html,site/deployment artifact,yes
M,articles/فتح-حساب-بنكي-للمشاريع-الناشئة-دليل-خطوة-بخطوة.html,site/deployment artifact,yes
M,articles/كيف-تختار-قالب-متجر-زد-المناسب-لمنتجاتك-دليل-عملي.html,site/deployment artifact,yes
M,articles/كيف-تخطط-لحملة-إعلانية-ناجحة-لمتجرك-الإلكتروني.html,site/deployment artifact,yes
M,articles/كيف-تساعد-وثيقة-العمل-الحر-في-توثيق-متجرك-على-منصتي-سلة-وزد.html,site/deployment artifact,yes
M,articles/كيف-تضمن-إدارة-متجرك-الإلكتروني-بكفاءة-عالية-لمدة-شهر.html,site/deployment artifact,yes
M,articles/كيف-يؤثر-الدفع-الآجل-على-سلة-المشتريات-وقيمة-الطلب-المتوسطة.html,site/deployment artifact,yes
M,articles/كيف-يؤثر-توثيق-المتجر-على-تحسين-محركات-البحث-seo-لمتجرك.html,site/deployment artifact,yes
M,articles/كيف-يؤثر-توثيق-منصة-الأعمال-على-التعاملات-المالية-والحساب-البنكي.html,site/deployment artifact,yes
M,articles/كيف-يسهل-الحساب-البنكي-التجاري-عملية-توثيق-متجرك-الإلكتروني.html,site/deployment artifact,yes
M,articles/كيفية-تجديد-وثيقة-العمل-الحر-وتعديل-بياناتها.html,site/deployment artifact,yes
M,articles/كيفية-تصميم-متجر-إلكتروني-احترافي-على-منصة-سلة-وزد.html,site/deployment artifact,yes
M,articles/كيفية-ربط-بوابة-الدفع-إمكان-imkan-بمتجرك-على-سلة-أو-زد.html,site/deployment artifact,yes
M,articles/ما-هي-وثيقة-العمل-الحر-وأهميتها-لأصحاب-المتاجر-الإلكترونية.html,site/deployment artifact,yes
M,articles/متطلبات-التوثيق-للمتاجر-التي-تعمل-على-منصات-سلة-وزد.html,site/deployment artifact,yes
M,articles/مقارنة-بين-إجراءات-فتح-حساب-بنكي-تجاري-في-الراجحي-والإنماء.html,site/deployment artifact,yes
M,articles/مقارنة-بين-بوابات-الدفع-الإلكتروني-ميس-مدفوع-وإمكان.html,site/deployment artifact,yes
M,articles/مقارنة-بين-منصات-الإعلان-الرئيسية-جوجل-فيسبوك-سناب-شات.html,site/deployment artifact,yes
M,articles/مقارنة-شاملة-بين-باقات-تصميم-متجر-سلة-بيسك-بلس-برو-ذهبية.html,site/deployment artifact,yes
M,articles/نصائح-لتسريع-عملية-الموافقة-على-فتح-حساب-بنكي-للأعمال.html,site/deployment artifact,yes
M,articles/وثيقة-العمل-الحر-دليل-لتحديد-النشاط-المناسب-لمتجرك.html,site/deployment artifact,yes
M,articles/وثيقة-العمل-الحر-والالتزامات-الضريبية-ما-يجب-أن-تعرفه.html,site/deployment artifact,yes
M,blog.html,site/deployment artifact,yes
M,brand-building.html,site/deployment artifact,yes
M,competitor-analysis.html,site/deployment artifact,yes
M,data-analysis.html,site/deployment artifact,yes
M,digital-ads.html,site/deployment artifact,yes
M,discount-salla-plus.html,site/deployment artifact,yes
M,discount-salla-pro.html,site/deployment artifact,yes
M,firebase.json,site/deployment artifact,yes
M,index.html,site/deployment artifact,yes
M,pages.css,site/deployment artifact,yes
M,product-marketing.html,site/deployment artifact,yes
M,reports/roadmap-implementation/05-content-architecture/inbound-link-inventory.csv,validation evidence,no
M,reports/roadmap-implementation/06-performance/validation.json,validation evidence,no
M,reports/roadmap-implementation/06-performance/validation.md,validation evidence,no
M,reports/roadmap-implementation/07-ui-accessibility-cro/brand-color-inventory.csv,validation evidence,no
M,reports/roadmap-implementation/07-ui-accessibility-cro/validation.json,validation evidence,no
M,reports/roadmap-implementation/07-ui-accessibility-cro/validation.md,validation evidence,no
??,reports/roadmap-implementation/08-authority-eeat/content-change-map.csv,validation evidence,no
??,reports/roadmap-implementation/08-authority-eeat/milestone-summary.md,validation evidence,no
??,reports/roadmap-implementation/08-authority-eeat/official-source-register.csv,validation evidence,no
??,reports/roadmap-implementation/08-authority-eeat/validation.json,validation evidence,no
??,reports/roadmap-implementation/08-authority-eeat/validation.md,validation evidence,no
??,reports/roadmap-implementation/09-staging-release/deployment-rollback-runbook.md,validation evidence,no
??,reports/roadmap-implementation/09-staging-release/file-change-inventory.csv,validation evidence,no
??,reports/roadmap-implementation/09-staging-release/lighthouse-desktop-current-release.report.html,validation evidence,no
??,reports/roadmap-implementation/09-staging-release/lighthouse-desktop-current-release.report.json,validation evidence,no
??,reports/roadmap-implementation/09-staging-release/lighthouse-desktop-final.report.html,validation evidence,no
??,reports/roadmap-implementation/09-staging-release/lighthouse-desktop-final.report.json,validation evidence,no
??,reports/roadmap-implementation/09-staging-release/lighthouse-desktop.report.html,validation evidence,no
??,reports/roadmap-implementation/09-staging-release/lighthouse-desktop.report.json,validation evidence,no
??,reports/roadmap-implementation/09-staging-release/lighthouse-desktop.report.report.html,validation evidence,no
??,reports/roadmap-implementation/09-staging-release/lighthouse-desktop.report.report.json,validation evidence,no
??,reports/roadmap-implementation/09-staging-release/lighthouse-mobile-final.report.html,validation evidence,no
??,reports/roadmap-implementation/09-staging-release/lighthouse-mobile-final.report.json,validation evidence,no
??,reports/roadmap-implementation/09-staging-release/lighthouse-mobile-optimized-final-2.report.html,validation evidence,no
??,reports/roadmap-implementation/09-staging-release/lighthouse-mobile-optimized-final-2.report.json,validation evidence,no
??,reports/roadmap-implementation/09-staging-release/lighthouse-mobile-optimized-final-3.report.html,validation evidence,no
??,reports/roadmap-implementation/09-staging-release/lighthouse-mobile-optimized-final-3.report.json,validation evidence,no
??,reports/roadmap-implementation/09-staging-release/lighthouse-mobile-optimized-final-4.report.html,validation evidence,no
??,reports/roadmap-implementation/09-staging-release/lighthouse-mobile-optimized-final-4.report.json,validation evidence,no
??,reports/roadmap-implementation/09-staging-release/lighthouse-mobile-optimized-final.report.html,validation evidence,no
??,reports/roadmap-implementation/09-staging-release/lighthouse-mobile-optimized-final.report.json,validation evidence,no
??,reports/roadmap-implementation/09-staging-release/lighthouse-mobile-performance-release.report.html,validation evidence,no
??,reports/roadmap-implementation/09-staging-release/lighthouse-mobile-performance-release.report.json,validation evidence,no
??,reports/roadmap-implementation/09-staging-release/lighthouse-mobile-release-repeat-2.report.html,validation evidence,no
??,reports/roadmap-implementation/09-staging-release/lighthouse-mobile-release-repeat-2.report.json,validation evidence,no
??,reports/roadmap-implementation/09-staging-release/lighthouse-mobile-release.report.html,validation evidence,no
??,reports/roadmap-implementation/09-staging-release/lighthouse-mobile-release.report.json,validation evidence,no
??,reports/roadmap-implementation/09-staging-release/lighthouse-mobile.report.html,validation evidence,no
??,reports/roadmap-implementation/09-staging-release/lighthouse-mobile.report.json,validation evidence,no
??,reports/roadmap-implementation/09-staging-release/lighthouse-mobile.report.report.html,validation evidence,no
??,reports/roadmap-implementation/09-staging-release/lighthouse-mobile.report.report.json,validation evidence,no
??,reports/roadmap-implementation/09-staging-release/lighthouse-summary.json,validation evidence,no
??,reports/roadmap-implementation/09-staging-release/lighthouse-summary.md,validation evidence,no
??,reports/roadmap-implementation/09-staging-release/redirect-runtime-sample.csv,validation evidence,no
??,reports/roadmap-implementation/09-staging-release/release-browser-validation.json,validation evidence,no
??,reports/roadmap-implementation/09-staging-release/release-readiness.json,validation evidence,no
??,reports/roadmap-implementation/09-staging-release/release-readiness.md,validation evidence,no
??,reports/roadmap-implementation/09-staging-release/search-console-30-day-monitoring.md,validation evidence,no
??,reports/roadmap-implementation/09-staging-release/search-console-pre-release-check.json,validation evidence,no
??,reports/roadmap-implementation/09-staging-release/staging-crawl.csv,validation evidence,no
??,reports/roadmap-implementation/09-staging-release/staging-validation.json,validation evidence,no
??,reports/roadmap-implementation/09-staging-release/staging-validation.md,validation evidence,no
M,reports/roadmap-implementation/change-log.md,validation evidence,no
M,salla-store-design-dammam.html,site/deployment artifact,yes
M,salla-store-design-jeddah.html,site/deployment artifact,yes
M,salla-store-design-makkah.html,site/deployment artifact,yes
M,salla-store-design-riyadh.html,site/deployment artifact,yes
M,salla-store-design.html,site/deployment artifact,yes
??,scripts/apply_authority_eeat.py,implementation/validation tooling,no
M,scripts/apply_brand_accessibility_ui.py,implementation/validation tooling,no
??,scripts/generate_release_readiness.py,implementation/validation tooling,no
??,scripts/validate_authority_eeat.py,implementation/validation tooling,no
M,scripts/validate_information_architecture.py,implementation/validation tooling,no
??,scripts/validate_staging_release.py,implementation/validation tooling,no
M,scripts/validate_ui_accessibility.py,implementation/validation tooling,no
M,search-engine-optimization.html,site/deployment artifact,yes
M,secure-payments.html,site/deployment artifact,yes
M,store-verification.html,site/deployment artifact,yes
M,style.css,site/deployment artifact,yes
M,zid-store-design.html,site/deployment artifact,yes
